water	year
62	2000
62	2001
63	2002
63	2003
63	2004
63	2005
64	2006
64	2007
64	2008
65	2009
66	2010
67	2011
67	2012
68	2013
69	2014
70	2015
71	2016
72	2017
73	2018
74	2019
74	2020
