date,value
2000,61.72681357
2001,61.9946817
2002,62.53974002
2003,62.82667033
2004,63.11558104
2005,63.39525453
2006,63.68991142
2007,63.97722679
2008,64.26010366
2009,65.0136684
2010,65.76047953
2011,66.602581
2012,67.48273821
2013,68.39149931
2014,69.29678157
2015,70.1993709
2016,71.09350427
2017,71.97965676
2018,72.84987619
2019,73.66120222
2020,74.26603417
